pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
24,Tommy Milone,WAS,5,4,0,0,26.1,37,17,23,1,7,1,1,0,0,0,5.81,1.44
25,Trevor Gott,WAS,20,0,0,0,19,19,12,15,10,4,0,2,0,0,2,5.68,1.53
26,Wander Suero,WAS,40,0,0,0,47.2,43,19,47,15,4,4,1,0,0,2,3.59,1.22
27,Adam Wainwright,STL,8,8,0,0,40.1,41,20,40,18,5,2,4,0,0,0,4.46,1.46
28,Alex Reyes,STL,1,1,0,0,4,3,0,2,2,0,0,0,0,0,0,0,1.25
29,Austin Gomber,STL,29,11,0,0,75,81,37,67,32,7,6,2,0,0,7,4.44,1.51
30,Brett Cecil,STL,40,0,0,0,32.2,39,25,19,25,5,1,1,0,0,0,6.89,1.96
31,Bud Norris,STL,64,0,0,0,57.2,51,23,67,21,8,3,6,28,5,2,3.59,1.25
32,Carlos Martinez,STL,33,18,0,0,118.2,100,41,117,60,5,8,6,5,0,4,3.11,1.35
33,Dakota Hudson,STL,26,0,0,0,27.1,19,8,19,18,0,4,1,0,0,11,2.63,1.35
34,Daniel Poncedeleon,STL,11,4,0,0,33,24,10,31,13,2,0,2,1,0,0,2.73,1.12
35,Dominic Leone,STL,29,0,0,0,24,27,12,26,8,3,1,2,0,2,5,4.5,1.46
36,Greg Holland,STL,32,0,0,0,25,34,22,22,22,1,0,2,0,3,2,7.92,2.24
37,Jack Flaherty,STL,28,28,0,0,151,108,56,182,59,20,8,9,0,0,0,3.34,1.11
38,John Brebbia,STL,45,0,0,0,50.2,43,18,60,16,5,3,3,2,0,5,3.2,1.16
39,John Gant,STL,26,19,0,0,114,91,44,95,57,9,7,6,0,0,0,3.47,1.3
40,Jordan Hicks,STL,73,0,0,0,77.2,59,31,70,45,2,3,4,6,7,25,3.59,1.34
41,Luke Gregerson,STL,17,0,0,0,12.2,14,10,12,6,2,0,0,0,0,2,7.11,1.58
42,Luke Weaver,STL,30,25,0,0,136.1,150,75,121,54,19,7,11,0,0,0,4.95,1.5
