Player,Tm,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Alex Avila,ARI,C,80,194,13,32,6,0,7,20,0,0,37,90,0,2,1,0.165,0.299,0.304,0.603
Alex Blandino,CIN,SS,69,128,14,30,4,0,1,8,0,0,13,41,2,0,4,0.234,0.324,0.289,0.613
Alex Verdugo,LAD,OF,37,77,11,20,6,0,1,4,0,0,8,14,1,0,0,0.26,0.329,0.377,0.706
Amed Rosario,NYM,SS,154,554,76,142,26,8,9,51,24,11,29,119,3,3,3,0.256,0.295,0.381,0.676
Andrew Knapp,PHI,C,84,187,19,37,6,2,4,15,1,0,24,75,1,1,2,0.198,0.294,0.316,0.61
Andrew McCutchen,SF,OF,130,482,65,123,28,2,15,55,13,6,73,123,0,6,7,0.255,0.357,0.415,0.772
Andrew Stevenson,WAS,OF,57,75,9,19,2,0,1,13,1,1,6,23,1,3,1,0.253,0.306,0.32,0.626
Andrew Toles,LAD,OF,17,30,5,7,2,0,0,4,1,0,2,8,0,0,0,0.233,0.281,0.3,0.581
Anthony Rendon,WAS,3B,136,529,88,163,44,2,24,92,2,1,55,82,0,8,5,0.308,0.374,0.535,0.909
Anthony Rizzo,CHC,1B,153,566,74,160,29,1,25,101,6,4,70,80,0,9,20,0.283,0.376,0.47,0.846
Aramis Garcia,SF,C,19,63,8,18,1,0,4,9,0,0,2,31,0,0,0,0.286,0.308,0.492,0.8
Asdrubal Cabrera NYM,NYM,SS,98,375,48,104,23,1,18,58,0,0,29,81,0,2,1,0.277,0.329,0.488,0.817
Asdrubal Cabrera PHI,PHI,SS,49,171,20,39,13,0,5,17,0,0,12,38,0,0,2,0.228,0.286,0.392,0.678
Austin Barnes,LAD,C,100,200,32,41,5,0,4,14,4,3,31,67,1,0,6,0.205,0.329,0.29,0.619
