Player,Tm,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcell Ozuna,STL,OF,148,582,69,163,16,2,23,88,3,0,38,110,0,4,3,0.28,0.325,0.433,0.758
Mark Reynolds,WAS,1B,86,206,26,51,8,0,13,40,0,0,24,64,0,3,2,0.248,0.328,0.476,0.804
Mark Zagunis,CHC,OF,5,5,0,2,1,0,0,1,0,0,1,1,0,0,0,0.4,0.5,0.6,1.1
Martin Prado,MIA,3B,54,197,16,48,9,0,1,18,1,1,11,35,0,0,1,0.244,0.287,0.305,0.592
Mason Williams,CIN,OF,51,123,10,36,5,1,2,6,1,2,7,29,2,0,0,0.293,0.331,0.398,0.729
Matt Adams,WAS,1B,94,249,37,64,9,0,18,48,0,0,24,55,0,0,4,0.257,0.332,0.51,0.842
Matt Adams,STL,1B,27,57,5,9,1,0,3,9,0,0,3,18,0,0,0,0.158,0.2,0.333,0.533
Matt Carpenter,STL,1B,156,564,111,145,42,0,36,81,4,1,102,158,0,4,6,0.257,0.374,0.523,0.897
Matt den Dekker,NYM,OF,8,18,0,0,0,0,0,1,0,0,2,9,0,1,0,0,0.095,0,0.095
Matt Holliday,COL,OF,25,53,3,15,2,0,2,3,0,0,12,18,0,0,0,0.283,0.415,0.434,0.849
Matt Kemp,LAD,OF,146,462,62,134,25,0,21,85,0,0,36,115,0,7,1,0.29,0.338,0.481,0.819
Matt Reynolds,WAS,3B,12,13,1,2,0,0,0,1,0,0,1,4,0,0,0,0.154,0.214,0.154,0.368
Matt Szczur,SD,OF,57,75,11,14,3,0,1,6,3,0,8,24,1,0,0,0.187,0.265,0.267,0.532
Matt Wieters,WAS,C,76,235,24,56,8,0,8,30,0,1,30,45,1,2,3,0.238,0.33,0.374,0.704
Max Moroff,PIT,2B,26,59,7,11,1,0,3,9,0,0,7,24,0,0,1,0.186,0.284,0.356,0.64
Max Muncy,LAD,2B,137,395,75,104,17,2,35,79,3,0,79,131,0,2,5,0.263,0.391,0.582,0.973
Michael Conforto,NYM,OF,153,543,78,132,25,1,28,82,3,4,84,159,0,4,7,0.243,0.35,0.448,0.798
Michael Reed,ATL,OF,7,7,1,2,0,0,0,0,0,0,0,3,0,0,0,0.286,0.286,0.286,0.572
Michael Taylor,WAS,OF,134,353,46,80,22,3,6,28,24,6,29,116,2,0,1,0.227,0.287,0.357,0.644
Miguel Gomez,SF,3B,9,15,3,4,0,0,0,1,0,0,0,5,0,0,0,0.267,0.267,0.267,0.534
Miguel Montero,WAS,C,4,11,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0.154,0,0.154
Miguel Rojas,MIA,SS,153,488,44,123,13,0,11,53,6,3,24,69,2,4,9,0.252,0.297,0.346,0.643
Mike Moustakas,MIL,3B,54,195,20,50,12,0,8,33,1,1,19,40,0,2,2,0.256,0.326,0.441,0.767
Mike Tauchman,COL,OF,21,32,5,3,1,0,0,0,1,0,4,15,1,0,0,0.094,0.194,0.125,0.319
Mitch Walding,PHI,3B,13,17,1,1,0,0,1,2,0,0,2,12,0,0,0,0.059,0.158,0.235,0.393
Moises Sierra,WAS,OF,27,54,4,9,2,0,0,4,1,1,2,20,0,2,2,0.167,0.217,0.204,0.421
Nate Orf,MIL,2B,15,21,4,2,0,0,1,1,1,0,3,8,0,0,1,0.095,0.24,0.238,0.478
Nick Ahmed,ARI,SS,153,516,61,121,33,5,16,70,5,4,40,109,1,5,2,0.234,0.29,0.411,0.701
Nick Franklin,MIL,2B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Hundley,SF,C,96,282,34,68,13,2,10,31,2,1,22,85,0,0,1,0.241,0.298,0.408,0.706
Nick Markakis,ATL,OF,162,623,78,185,43,2,14,93,1,1,72,80,0,9,1,0.297,0.366,0.44,0.806
Nick Williams,PHI,OF,140,407,53,104,12,3,17,50,3,2,32,111,0,0,9,0.256,0.324,0.425,0.749
Noel Cuevas,COL,OF,75,146,16,34,4,1,2,10,1,0,6,24,0,0,1,0.233,0.268,0.315,0.583
Nolan Arenado,COL,3B,156,590,104,175,38,2,38,110,2,2,73,122,1,6,3,0.297,0.374,0.561,0.935
Odubel Herrera,PHI,OF,148,550,64,140,19,3,22,71,5,2,38,122,1,1,7,0.255,0.31,0.42,0.73
Orlando Arcia,MIL,SS,119,348,32,82,16,0,3,30,7,4,15,87,1,1,1,0.236,0.268,0.307,0.575
Ozzie Albies,ATL,2B,158,639,105,167,40,5,24,72,14,3,36,116,1,3,5,0.261,0.305,0.452,0.757
Pablo Reyes,PIT,2B,18,58,9,17,2,0,3,7,0,1,5,11,0,0,0,0.293,0.349,0.483,0.832
Pablo Sandoval,SF,3B,92,230,22,57,10,1,9,40,0,0,19,52,0,1,2,0.248,0.31,0.417,0.727
Pat Valaika,COL,SS,68,122,8,19,5,0,2,5,0,0,9,30,2,0,0,0.156,0.214,0.246,0.46
Patrick Kivlehan,ARI,OF,9,13,3,3,0,2,0,0,0,0,0,6,0,0,1,0.231,0.286,0.538,0.824
Patrick Wisdom,STL,3B,32,50,11,13,1,0,4,10,2,1,6,19,0,0,2,0.26,0.362,0.52,0.882
Paul DeJong,STL,SS,115,436,68,105,25,1,19,68,1,1,36,123,0,5,12,0.241,0.313,0.433,0.746
Paul Goldschmidt,ARI,1B,158,593,95,172,35,5,33,83,7,4,90,173,0,0,6,0.29,0.389,0.533,0.922
Pedro Florimon,PHI,OF,50,71,13,16,6,1,2,5,1,2,5,30,0,0,0,0.225,0.276,0.423,0.699
Pedro Severino,WAS,C,70,190,14,32,9,0,2,15,1,0,18,47,0,1,4,0.168,0.254,0.247,0.501
Peter Bourjos,ATL,OF,36,44,5,9,2,1,1,4,0,0,2,15,1,0,0,0.205,0.239,0.364,0.603
Peter O'Brien,MIA,OF,22,66,8,18,5,0,4,10,0,0,7,22,0,1,0,0.273,0.338,0.53,0.868
Phil Gosselin,CIN,2B,20,24,5,3,0,0,1,2,0,0,4,8,0,0,0,0.125,0.25,0.25,0.5
Phillip Ervin,CIN,OF,78,218,27,55,10,1,7,31,6,1,20,60,0,4,5,0.252,0.324,0.404,0.728
