Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
44,P,Boone Logan\loganbo02,33,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jeremy Jeffress\jeffrje01,30,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Joakim Soria\soriajo01,34,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Adrian Houser\housead01,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Xavier Cedeno*\cedenxa01,31,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Alec Asher\asheral01,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Mike Zagurski*\zagurmi01,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Matt Albers*\alberma01,35,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Oliver Drake\drakeol01,31,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Jacob Barnes\barneja01,28,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,29.0,163,6210,5542,754,1398,252,24,218,711,124,32,537,1458,.252,.323,.424,.747,99,2352,128,58,29,41,32
,,Rank in 15 NL teams,,,,4,7,6,10,13,2,,1,5,8,11,7,6,3,4,,3,,11,,8,
,,Non-Pitcher Totals,29.0,163,5915,5282,736,1361,245,24,216,700,124,32,526,1354,.258,.329,.436,.765,103,2302,126,57,6,41,32
,,Pitcher Totals,28.7,163,295,260,18,37,7,0,2,11,0,0,11,104,.142,.180,.192,.372,0,50,2,1,23,0,0
