battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
50,Victor Caratini,CHC,C,76,181,21,42,7,0,2,21,0,0,12,42,2,1,4,0.232,0.293,0.304,0.597
51,Tommy La Stella,CHC,2B,123,169,23,45,8,0,1,19,0,1,17,27,0,0,2,0.266,0.34,0.331,0.671
52,Efren Navarro,CHC,1B,4,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0.167,0.167,0.167,0.334
53,Terrance Gore,CHC,OF,14,5,5,1,0,0,0,0,6,0,0,1,0,0,0,0.2,0.2,0.2,0.4
54,Taylor Davis,CHC,C,5,5,0,2,0,0,0,2,0,0,0,1,0,1,0,0.4,0.333,0.4,0.733
55,Mark Zagunis,CHC,OF,5,5,0,2,1,0,0,1,0,0,1,1,0,0,0,0.4,0.5,0.6,1.1
56,Jose Peraza,CIN,SS,157,632,85,182,31,4,14,58,23,6,29,75,8,5,9,0.288,0.326,0.416,0.742
57,Scooter Gennett,CIN,2B,154,584,86,181,30,3,23,92,4,2,42,125,3,5,4,0.31,0.357,0.49,0.847
58,Eugenio Suarez,CIN,3B,143,527,79,149,22,2,34,104,1,1,64,142,0,6,9,0.283,0.366,0.526,0.892
59,Billy Hamilton,CIN,OF,153,504,74,119,16,9,4,29,34,10,46,132,1,4,1,0.236,0.299,0.327,0.626
60,Joey Votto,CIN,1B,145,503,67,143,28,2,12,67,2,0,108,101,0,3,9,0.284,0.417,0.419,0.836
61,Tucker Barnhart,CIN,C,138,460,50,114,21,3,10,46,0,4,54,96,3,3,2,0.248,0.328,0.372,0.7
62,Scott Schebler,CIN,OF,107,380,55,97,19,0,17,49,4,2,39,99,0,2,9,0.255,0.337,0.439,0.776
63,Adam Duvall,CIN,OF,105,331,40,68,19,0,15,61,2,2,34,100,0,1,4,0.205,0.286,0.399,0.685
64,Jesse Winker,CIN,OF,89,281,38,84,16,0,7,43,0,0,49,46,1,1,2,0.299,0.405,0.431,0.836
65,Phillip Ervin,CIN,OF,78,218,27,55,10,1,7,31,6,1,20,60,0,4,5,0.252,0.324,0.404,0.728
66,Curt Casali,CIN,C,52,140,15,41,10,0,4,16,0,2,12,32,1,1,2,0.293,0.355,0.45,0.805
67,Alex Blandino,CIN,SS,69,128,14,30,4,0,1,8,0,0,13,41,2,0,4,0.234,0.324,0.289,0.613
68,Mason Williams,CIN,OF,51,123,10,36,5,1,2,6,1,2,7,29,2,0,0,0.293,0.331,0.398,0.729
69,Brandon Dixon,CIN,3B,74,118,14,21,6,0,5,10,0,0,6,43,0,0,0,0.178,0.218,0.356,0.574
70,Dilson Herrera,CIN,2B,53,87,11,16,5,0,5,11,0,0,8,39,0,0,2,0.184,0.268,0.414,0.682
71,Cliff Pennington,CIN,2B,16,29,1,4,0,0,0,0,0,0,5,13,0,0,0,0.138,0.265,0.138,0.403
72,Tony Cruz,CIN,C,9,26,2,4,1,0,1,2,0,0,0,11,0,0,0,0.154,0.154,0.308,0.462
73,Phil Gosselin,CIN,2B,20,24,5,3,0,0,1,2,0,0,4,8,0,0,0,0.125,0.25,0.25,0.5
74,Gabriel Guerrero,CIN,OF,14,18,1,3,0,0,1,1,0,0,0,8,0,0,0,0.167,0.167,0.333,0.5
75,Blake Trahan,CIN,SS,11,14,2,3,0,0,0,0,0,0,0,4,0,0,0,0.214,0.214,0.214,0.428
76,Charlie Blackmon,COL,OF,156,626,119,182,31,7,29,70,12,4,59,134,1,2,8,0.291,0.358,0.502,0.86
77,Trevor Story,COL,SS,157,598,88,174,42,6,37,108,27,6,47,168,0,4,7,0.291,0.348,0.567,0.915
78,Nolan Arenado,COL,3B,156,590,104,175,38,2,38,110,2,2,73,122,1,6,3,0.297,0.374,0.561,0.935
79,Ian Desmond,COL,OF,160,555,82,131,21,8,22,88,20,6,53,146,1,4,6,0.236,0.307,0.422,0.729
80,DJ LeMahieu,COL,2B,128,533,90,147,32,2,15,62,6,5,37,82,2,7,2,0.276,0.321,0.428,0.749
81,Carlos Gonzalez,COL,OF,132,463,71,128,32,4,16,64,5,2,37,113,0,3,1,0.276,0.329,0.467,0.796
82,Gerardo Parra,COL,OF,142,401,52,114,17,0,6,53,11,4,32,75,2,3,5,0.284,0.342,0.372,0.714
83,Chris Iannetta,COL,C,110,299,36,67,13,1,11,36,0,0,50,87,1,3,7,0.224,0.345,0.385,0.73
84,David Dahl,COL,OF,77,249,31,68,11,3,16,48,5,3,19,68,0,2,1,0.273,0.325,0.534,0.859
85,Tony Wolters,COL,C,74,182,19,31,4,4,3,27,2,0,26,33,0,2,6,0.17,0.292,0.286,0.578
86,Ryan McMahon,COL,1B,91,181,17,42,9,1,5,19,1,0,18,64,0,1,2,0.232,0.307,0.376,0.683
87,Noel Cuevas,COL,OF,75,146,16,34,4,1,2,10,1,0,6,24,0,0,1,0.233,0.268,0.315,0.583
88,Pat Valaika,COL,SS,68,122,8,19,5,0,2,5,0,0,9,30,2,0,0,0.156,0.214,0.246,0.46
89,Tom Murphy,COL,C,37,93,5,21,7,1,2,11,0,1,3,44,0,0,0,0.226,0.25,0.387,0.637
90,Matt Holliday,COL,OF,25,53,3,15,2,0,2,3,0,0,12,18,0,0,0,0.283,0.415,0.434,0.849
91,Daniel Castro,COL,SS,18,46,2,8,1,0,1,6,0,0,1,7,0,0,0,0.174,0.191,0.261,0.452
92,Garrett Hampson,COL,2B,24,40,3,11,3,1,0,4,2,0,7,12,0,0,1,0.275,0.396,0.4,0.796
93,Mike Tauchman,COL,OF,21,32,5,3,1,0,0,0,1,0,4,15,1,0,0,0.094,0.194,0.125,0.319
94,Raimel Tapia,COL,OF,25,25,6,5,2,1,1,6,0,0,2,7,0,0,0,0.2,0.259,0.48,0.739
95,Cody Bellinger,LAD,1B,162,557,84,145,28,7,25,76,14,1,69,151,0,3,3,0.26,0.343,0.47,0.813
96,Chris Taylor,LAD,2B,155,536,85,136,35,8,17,63,9,6,55,178,0,4,9,0.254,0.331,0.444,0.775
97,Matt Kemp,LAD,OF,146,462,62,134,25,0,21,85,0,0,36,115,0,7,1,0.29,0.338,0.481,0.819
98,Yasmani Grandal,LAD,C,140,440,65,106,23,2,24,68,2,1,72,124,0,3,3,0.241,0.349,0.466,0.815
99,Yasiel Puig,LAD,OF,125,405,60,108,21,1,23,63,15,5,36,87,0,2,1,0.267,0.327,0.494,0.821
100,Enrique Hernandez,LAD,SS,145,402,67,103,17,3,21,52,3,0,50,78,4,5,1,0.256,0.336,0.47,0.806
101,Max Muncy,LAD,2B,137,395,75,104,17,2,35,79,3,0,79,131,0,2,5,0.263,0.391,0.582,0.973
102,Joc Pederson,LAD,OF,148,395,65,98,27,3,25,56,1,5,40,85,1,3,4,0.248,0.321,0.522,0.843
103,Justin Turner,LAD,3B,103,365,62,114,31,1,14,52,2,1,47,54,0,2,12,0.312,0.406,0.518,0.924
104,Austin Barnes,LAD,C,100,200,32,41,5,0,4,14,4,3,31,67,1,0,6,0.205,0.329,0.29,0.619
105,Logan Forsythe,LAD,2B,70,193,18,40,10,0,2,13,2,0,17,43,0,1,0,0.207,0.27,0.29,0.56
106,Chase Utley,LAD,2B,87,164,18,35,10,1,1,14,3,1,17,34,0,1,5,0.213,0.305,0.305,0.61
107,Corey Seager,LAD,SS,26,101,13,27,5,1,2,13,0,0,11,17,0,1,2,0.267,0.348,0.396,0.744
108,Alex Verdugo,LAD,OF,37,77,11,20,6,0,1,4,0,0,8,14,1,0,0,0.26,0.329,0.377,0.706
109,Kyle Farmer,LAD,C,39,68,1,16,4,1,0,9,0,0,5,15,0,1,3,0.235,0.312,0.324,0.636
110,Andrew Toles,LAD,OF,17,30,5,7,2,0,0,4,1,0,2,8,0,0,0,0.233,0.281,0.3,0.581
111,Tim Locastro,LAD,2B,18,11,6,2,1,0,0,0,4,0,2,5,0,0,1,0.182,0.357,0.273,0.63
112,Rocky Gale,LAD,C,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,Starlin Castro,MIA,2B,154,593,76,165,32,2,12,54,6,4,48,124,0,6,0,0.278,0.329,0.4,0.729
114,Brian Anderson,MIA,3B,156,590,87,161,34,4,11,65,2,4,62,129,0,2,16,0.273,0.357,0.4,0.757
115,Derek Dietrich,MIA,3B,149,499,72,132,26,2,16,45,2,0,29,140,0,2,21,0.265,0.33,0.421,0.751
116,Miguel Rojas,MIA,SS,153,488,44,123,13,0,11,53,6,3,24,69,2,4,9,0.252,0.297,0.346,0.643
117,J.T. Realmuto,MIA,C,125,477,74,132,30,3,21,74,3,2,38,104,0,4,10,0.277,0.34,0.484,0.824
118,Lewis Brinson,MIA,OF,109,382,31,76,10,5,11,42,2,1,17,120,0,2,4,0.199,0.24,0.338,0.578
119,Justin Bour,MIA,1B,112,374,43,85,10,1,19,54,1,0,69,111,0,3,1,0.227,0.347,0.412,0.759
120,JT Riddle,MIA,SS,102,308,28,71,10,4,9,36,0,3,20,67,3,1,0,0.231,0.277,0.377,0.654
121,Cameron Maybin,MIA,OF,99,251,20,63,12,1,3,20,8,5,32,55,0,2,2,0.251,0.338,0.343,0.681
