battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
216,Pablo Reyes,PIT,2B,18,58,9,17,2,0,3,7,0,1,5,11,0,0,0,0.293,0.349,0.483,0.832
217,Kevin Kramer,PIT,2B,21,37,5,5,0,0,0,4,0,0,2,20,0,1,0,0.135,0.175,0.135,0.31
218,Jacob Stallings,PIT,C,14,37,2,8,0,0,0,5,0,0,3,9,0,1,0,0.216,0.268,0.216,0.484
219,Jung Ho Kang,PIT,3B,3,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666
220,Ryan Lavarnway,PIT,C,6,6,1,4,1,0,0,1,0,0,0,1,0,0,0,0.667,0.667,0.833,1.5
221,Eric Hosmer,SDP,1B,157,613,72,155,31,2,18,69,7,4,62,142,0,1,1,0.253,0.322,0.398,0.72
222,Freddy Galvis,SDP,SS,162,602,62,149,31,5,13,67,8,6,45,147,1,6,2,0.248,0.299,0.38,0.679
223,Manuel Margot,SDP,OF,141,477,50,117,26,8,8,51,11,10,32,88,1,7,2,0.245,0.292,0.384,0.676
224,Jose Pirela,SDP,OF,146,438,54,109,23,2,5,32,6,3,30,89,0,2,3,0.249,0.3,0.345,0.645
225,Hunter Renfroe,SDP,OF,117,403,53,100,23,1,26,68,2,1,30,109,0,5,3,0.248,0.302,0.504,0.806
226,Christian Villanueva,SDP,3B,110,351,42,83,15,0,20,46,3,0,23,104,0,1,9,0.236,0.299,0.45,0.749
227,Travis Jankowski,SDP,OF,117,347,45,90,12,3,4,17,24,7,37,73,2,0,1,0.259,0.332,0.346,0.678
228,Wil Myers,SDP,1B,83,312,39,79,25,1,11,39,13,1,30,94,0,1,0,0.253,0.318,0.446,0.764
229,Austin Hedges,SDP,C,91,303,29,70,14,2,14,37,3,0,21,90,0,1,1,0.231,0.282,0.429,0.711
230,Cory Spangenberg,SDP,3B,116,298,35,70,9,4,7,25,6,1,25,108,4,0,2,0.235,0.298,0.362,0.66
231,Franmil Reyes,SDP,OF,87,261,36,73,9,0,16,31,0,0,24,80,0,0,0,0.28,0.34,0.498,0.838
232,Carlos Asuaje,SDP,2B,79,189,15,37,8,1,2,19,1,1,24,46,1,3,1,0.196,0.286,0.28,0.566
233,A.J. Ellis,SDP,C,66,151,19,41,8,0,1,15,0,0,26,37,3,2,1,0.272,0.378,0.344,0.722
234,Franchy Cordero,SDP,OF,40,139,19,33,5,1,7,19,5,2,14,55,1,0,0,0.237,0.307,0.439,0.746
235,Raffy Lopez,SDP,C,37,102,11,18,2,0,3,13,1,0,13,43,0,2,0,0.176,0.265,0.284,0.549
236,Matt Szczur,SDP,OF,57,75,11,14,3,0,1,6,3,0,8,24,1,0,0,0.187,0.265,0.267,0.532
237,Francisco Mejia,SDP,C,20,54,6,10,2,0,3,8,0,0,3,19,0,0,1,0.185,0.241,0.389,0.63
238,Chase Headley,SDP,3B,27,52,2,6,1,0,0,4,0,0,6,20,0,0,2,0.115,0.233,0.135,0.368
239,Luis Urias,SDP,2B,12,48,5,10,1,0,2,5,1,0,3,10,0,1,1,0.208,0.264,0.354,0.618
240,Javy Guerra,SDP,SS,13,16,2,2,0,0,0,1,0,0,3,9,0,0,0,0.125,0.263,0.125,0.388
241,Brandon Crawford,SFG,SS,151,531,63,135,28,2,14,54,4,5,50,122,0,5,8,0.254,0.325,0.394,0.719
242,Andrew McCutchen,SFG,OF,130,482,65,123,28,2,15,55,13,6,73,123,0,6,7,0.255,0.357,0.415,0.772
243,Evan Longoria,SFG,3B,125,480,51,117,25,4,16,54,3,1,22,101,0,5,5,0.244,0.281,0.413,0.694
244,Gorkys Hernandez,SFG,OF,142,414,52,97,16,2,15,40,8,5,27,113,2,4,4,0.234,0.285,0.391,0.676
245,Brandon Belt,SFG,1B,112,399,50,101,18,2,14,46,4,0,49,107,0,2,6,0.253,0.342,0.414,0.756
246,Buster Posey,SFG,C,105,398,47,113,22,1,5,41,3,2,45,53,0,2,3,0.284,0.359,0.382,0.741
247,Joe Panik,SFG,2B,102,358,38,91,14,1,4,24,4,2,26,30,1,4,3,0.254,0.307,0.332,0.639
248,Alen Hanson,SFG,2B,110,294,36,74,17,5,8,39,7,3,9,71,3,3,1,0.252,0.274,0.425,0.699
249,Nick Hundley,SFG,C,96,282,34,68,13,2,10,31,2,1,22,85,0,0,1,0.241,0.298,0.408,0.706
250,Hunter Pence,SFG,OF,97,235,19,53,11,1,4,24,5,1,11,59,0,2,0,0.226,0.258,0.332,0.59
251,Pablo Sandoval,SFG,3B,92,230,22,57,10,1,9,40,0,0,19,52,0,1,2,0.248,0.31,0.417,0.727
252,Austin Slater,SFG,OF,74,199,21,50,6,1,1,23,7,0,20,69,0,1,5,0.251,0.333,0.307,0.64
253,Gregor Blanco,SFG,OF,68,189,19,41,7,3,2,12,6,2,12,58,1,1,0,0.217,0.262,0.317,0.579
254,Steven Duggar,SFG,OF,41,141,20,36,11,1,2,17,5,1,10,44,0,1,0,0.255,0.303,0.39,0.693
255,Kelby Tomlinson,SFG,2B,63,140,9,29,4,2,0,10,0,2,9,35,1,0,2,0.207,0.265,0.264,0.529
256,Mac Williamson,SFG,OF,28,94,14,20,4,0,4,11,1,1,11,27,0,0,0,0.213,0.295,0.383,0.678
257,Chase d'Arnaud,SFG,SS,42,93,9,20,5,0,3,9,2,1,4,37,1,1,1,0.215,0.253,0.366,0.619
258,Aramis Garcia,SFG,C,19,63,8,18,1,0,4,9,0,0,2,31,0,0,0,0.286,0.308,0.492,0.8
259,Chris Shaw,SFG,OF,22,54,2,10,2,0,1,7,1,0,7,23,0,1,0,0.185,0.274,0.278,0.552
260,Miguel Gomez,SFG,3B,9,15,3,4,0,0,0,1,0,0,0,5,0,0,0,0.267,0.267,0.267,0.534
261,Abiatal Avelino,SFG,SS,6,11,1,3,0,0,0,0,0,0,0,3,0,0,0,0.273,0.273,0.273,0.546
262,Ryder Jones,SFG,1B,5,8,2,3,0,0,2,3,0,0,0,5,0,0,0,0.375,0.375,1.125,1.5
263,Marcell Ozuna,STL,OF,148,582,69,163,16,2,23,88,3,0,38,110,0,4,3,0.28,0.325,0.433,0.758
264,Matt Carpenter,STL,1B,156,564,111,145,42,0,36,81,4,1,102,158,0,4,6,0.257,0.374,0.523,0.897
265,Jose Martinez,STL,1B,152,534,64,163,30,0,17,83,0,3,49,104,2,3,2,0.305,0.364,0.457,0.821
266,Yadier Molina,STL,C,123,459,55,120,20,0,20,74,4,3,29,66,0,6,9,0.261,0.314,0.436,0.75
267,Paul DeJong,STL,SS,115,436,68,105,25,1,19,68,1,1,36,123,0,5,12,0.241,0.313,0.433,0.746
268,Harrison Bader,STL,OF,138,379,61,100,20,2,12,37,15,3,31,125,2,4,11,0.264,0.334,0.422,0.756
269,Kolten Wong,STL,2B,127,353,41,88,18,2,9,38,6,5,31,60,6,3,14,0.249,0.332,0.388,0.72
270,Jedd Gyorko,STL,3B,125,351,49,92,19,1,11,47,2,0,44,77,0,4,3,0.262,0.346,0.416,0.762
271,Tommy Pham,STL,OF,98,351,67,87,11,0,14,41,10,6,42,97,0,1,2,0.248,0.331,0.399,0.73
272,Yairo Munoz,STL,SS,108,293,39,81,16,0,8,42,5,6,30,71,0,2,4,0.276,0.35,0.413,0.763
273,Dexter Fowler,STL,OF,90,289,40,52,10,0,8,31,5,2,38,75,0,4,3,0.18,0.278,0.298,0.576
274,Greg Garcia,STL,2B,114,181,15,40,6,0,3,15,3,1,20,37,1,2,4,0.221,0.309,0.304,0.613
275,Francisco Pena,STL,C,58,133,10,27,3,0,2,8,1,0,6,43,0,2,1,0.203,0.239,0.271,0.51
276,Tyler O'Neill,STL,OF,61,130,29,33,5,0,9,23,2,0,7,57,0,2,3,0.254,0.303,0.5,0.803
277,Patrick Wisdom,STL,3B,32,50,11,13,1,0,4,10,2,1,6,19,0,0,2,0.26,0.362,0.52,0.882
278,Carson Kelly,STL,C,19,35,1,4,0,0,0,3,0,0,3,7,3,0,1,0.114,0.205,0.114,0.319
279,Adolis Garcia,STL,OF,21,17,3,2,1,0,0,1,0,0,0,7,0,0,0,0.118,0.118,0.176,0.294
280,Steve Baron,STL,C,2,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4
281,Edmundo Sosa,STL,SS,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333,0,0.333
282,Trea Turner,WAS,SS,162,664,103,180,27,6,19,73,43,9,69,132,2,0,5,0.271,0.344,0.416,0.76
283,Bryce Harper,WAS,OF,159,550,103,137,34,0,34,100,13,3,130,169,0,9,6,0.249,0.393,0.496,0.889
284,Anthony Rendon,WAS,3B,136,529,88,163,44,2,24,92,2,1,55,82,0,8,5,0.308,0.374,0.535,0.909
285,Juan Soto,WAS,OF,116,414,77,121,25,1,22,70,5,2,79,99,1,0,0,0.292,0.406,0.517,0.923
286,Wilmer Difo,WAS,SS,148,408,55,94,14,7,7,42,10,3,39,82,3,4,2,0.23,0.298,0.35,0.648
287,Michael Taylor,WAS,OF,134,353,46,80,22,3,6,28,24,6,29,116,2,0,1,0.227,0.287,0.357,0.644
288,Adam Eaton,WAS,OF,95,319,55,96,18,1,5,33,9,1,38,64,2,0,11,0.301,0.394,0.411,0.805
289,Ryan Zimmerman,WAS,1B,85,288,33,76,21,2,13,51,1,1,30,55,0,2,3,0.264,0.337,0.486,0.823
290,Matt Adams,WAS,1B,94,249,37,64,9,0,18,48,0,0,24,55,0,0,4,0.257,0.332,0.51,0.842
291,Matt Wieters,WAS,C,76,235,24,56,8,0,8,30,0,1,30,45,1,2,3,0.238,0.33,0.374,0.704
292,Mark Reynolds,WAS,1B,86,206,26,51,8,0,13,40,0,0,24,64,0,3,2,0.248,0.328,0.476,0.804
293,Daniel Murphy,WAS,2B,56,190,17,57,9,0,6,29,1,0,13,17,0,2,0,0.3,0.341,0.442,0.783
294,Pedro Severino,WAS,C,70,190,14,32,9,0,2,15,1,0,18,47,0,1,4,0.168,0.254,0.247,0.501
295,Howie Kendrick,WAS,OF,40,152,17,46,14,0,4,12,1,1,5,29,0,1,2,0.303,0.331,0.474,0.805
296,Spencer Kieboom,WAS,C,52,125,16,29,5,0,2,13,0,0,16,28,0,1,1,0.232,0.322,0.32,0.642
297,Andrew Stevenson,WAS,OF,57,75,9,19,2,0,1,13,1,1,6,23,1,3,1,0.253,0.306,0.32,0.626
298,Victor Robles,WAS,OF,21,59,8,17,3,1,3,10,3,2,4,12,0,1,2,0.288,0.348,0.525,0.873
299,Adrian Sanchez,WAS,3B,28,58,8,16,2,1,0,3,0,0,1,8,0,0,0,0.276,0.288,0.345,0.633
300,Moises Sierra,WAS,OF,27,54,4,9,2,0,0,4,1,1,2,20,0,2,2,0.167,0.217,0.204,0.421
301,Matt Reynolds,WAS,3B,12,13,1,2,0,0,0,1,0,0,1,4,0,0,0,0.154,0.214,0.154,0.368
302,Miguel Montero,WAS,C,4,11,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0.154,0,0.154
303,Rafael Bautista,WAS,OF,9,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
