Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Sean Doolittle,WAS,43,0,0,0,45,21,8,60,6,3,3,3,25,1,1,1.6,0.6
Shawn Kelley,WAS,35,0,0,0,32.1,26,12,32,5,7,1,0,0,1,1,3.34,0.96
Stephen Strasburg,WAS,22,22,0,0,130,118,54,156,38,18,10,7,0,0,0,3.74,1.2
Tanner Roark,WAS,31,30,0,0,180.1,181,87,146,50,24,9,15,0,0,0,4.34,1.28
Tim Collins,WAS,38,0,0,0,22.2,23,11,21,12,5,0,0,0,0,4,4.37,1.54
Tommy Milone,WAS,5,4,0,0,26.1,37,17,23,1,7,1,1,0,0,0,5.81,1.44
Trevor Gott,WAS,20,0,0,0,19,19,12,15,10,4,0,2,0,0,2,5.68,1.53
Wander Suero,WAS,40,0,0,0,47.2,43,19,47,15,4,4,1,0,0,2,3.59,1.22
Adam Wainwright,STL,8,8,0,0,40.1,41,20,40,18,5,2,4,0,0,0,4.46,1.46
Alex Reyes,STL,1,1,0,0,4,3,0,2,2,0,0,0,0,0,0,0,1.25
Austin Gomber,STL,29,11,0,0,75,81,37,67,32,7,6,2,0,0,7,4.44,1.51
Brett Cecil,STL,40,0,0,0,32.2,39,25,19,25,5,1,1,0,0,0,6.89,1.96
Bud Norris,STL,64,0,0,0,57.2,51,23,67,21,8,3,6,28,5,2,3.59,1.25
Carlos Martinez,STL,33,18,0,0,118.2,100,41,117,60,5,8,6,5,0,4,3.11,1.35
Dakota Hudson,STL,26,0,0,0,27.1,19,8,19,18,0,4,1,0,0,11,2.63,1.35
Daniel Poncedeleon,STL,11,4,0,0,33,24,10,31,13,2,0,2,1,0,0,2.73,1.12
Dominic Leone,STL,29,0,0,0,24,27,12,26,8,3,1,2,0,2,5,4.5,1.46
Greg Holland,STL,32,0,0,0,25,34,22,22,22,1,0,2,0,3,2,7.92,2.24
Jack Flaherty,STL,28,28,0,0,151,108,56,182,59,20,8,9,0,0,0,3.34,1.11
John Brebbia,STL,45,0,0,0,50.2,43,18,60,16,5,3,3,2,0,5,3.2,1.16
John Gant,STL,26,19,0,0,114,91,44,95,57,9,7,6,0,0,0,3.47,1.3
Jordan Hicks,STL,73,0,0,0,77.2,59,31,70,45,2,3,4,6,7,25,3.59,1.34
Luke Gregerson,STL,17,0,0,0,12.2,14,10,12,6,2,0,0,0,0,2,7.11,1.58
Luke Weaver,STL,30,25,0,0,136.1,150,75,121,54,19,7,11,0,0,0,4.95,1.5
Matt Bowman,STL,22,0,0,0,23,29,16,26,11,4,0,2,0,2,5,6.26,1.74
Michael Wacha,STL,15,15,0,0,84.1,68,30,71,36,9,8,2,0,0,0,3.2,1.23
Mike Mayers,STL,50,0,0,0,51.2,59,27,49,15,7,2,1,1,0,6,4.7,1.43
Miles Mikolas,STL,32,32,1,1,200.2,186,63,146,29,16,18,4,0,0,0,2.83,1.07
Ryan Sherriff,STL,5,0,0,0,5.2,8,4,3,2,1,0,0,0,0,1,6.35,1.76
Sam Tuivailala,STL,31,0,0,0,31.2,35,13,26,11,3,3,3,0,0,4,3.69,1.45
Tyler Lyons,STL,27,0,0,0,16.2,24,16,19,8,3,1,0,0,2,9,8.64,1.92
Tyler Webb,STL,18,0,0,0,15.1,16,3,11,6,1,0,0,0,0,0,1.76,1.43
Andrew Suarez,SFG,29,29,0,0,160.1,163,80,130,45,23,7,13,0,0,0,4.49,1.3
Casey Kelly,SFG,7,3,0,0,23.2,28,8,16,5,3,0,3,0,0,0,3.04,1.39
Chris Stratton,SFG,28,26,1,1,145,153,82,112,54,19,10,10,0,0,0,5.09,1.43
Cory Gearrin,SFG,35,0,0,0,30,33,14,31,13,5,1,1,1,2,2,4.2,1.53
D.J. Snelten,SFG,4,0,0,0,4.1,9,5,4,3,2,0,0,0,0,0,10.38,2.77
Dereck Rodriguez,SFG,21,19,0,0,118.1,98,37,89,36,9,6,4,0,0,0,2.81,1.13
Derek Holland,SFG,36,30,0,0,171.1,154,68,169,67,19,7,9,0,0,0,3.57,1.29
Derek Law,SFG,7,0,0,0,13.1,16,11,12,8,2,1,0,0,0,0,7.43,1.8
Hunter Strickland,SFG,49,0,0,0,45.1,43,20,37,21,5,3,5,14,4,0,3.97,1.41
Jeff Samardzija,SFG,10,10,0,0,44.2,47,31,30,26,6,1,5,0,0,0,6.25,1.63
Johnny Cueto,SFG,9,9,0,0,53,46,19,38,13,8,3,2,0,0,0,3.23,1.11
Jose Valdez,SFG,4,0,0,0,5,8,7,4,1,3,0,0,0,0,0,12.6,1.8
Josh Osich,SFG,12,0,0,0,12,20,11,10,7,2,0,0,0,1,2,8.25,2.25
Madison Bumgarner,SFG,21,21,0,0,129.2,118,47,109,43,14,6,7,0,0,0,3.26,1.24
Mark Melancon,SFG,41,0,0,0,39,48,14,31,14,2,1,4,3,4,8,3.23,1.59
Pierce Johnson,SFG,37,0,0,0,43.2,38,27,36,22,5,3,2,0,0,1,5.56,1.37
Ray Black,SFG,26,0,0,0,23.1,17,16,33,10,4,2,2,0,1,1,6.17,1.16
